TimeStamp,xVel1,yVel1,xVel2,yVel2
22:26.9,-0.014884872,0.03499696,0.019459129,0.002048886
22:27.1,-0.014765408,0.035471511,0.019648452,0.001916468
22:27.1,-0.014722586,0.035606476,0.020080387,0.001982849
22:27.3,-0.015105492,0.036066557,0.020032777,0.001756992
22:27.4,-0.014956725,0.036330892,0.019933873,0.001940128
22:27.6,-0.015095434,0.037020243,0.019521139,0.001715355
22:27.7,-0.015416759,0.037015689,0.019337289,0.002229397
22:27.9,-0.015167217,0.036832548,0.01897155,0.002394856
22:28.0,-0.015664398,0.037006281,0.019369252,0.002021617
22:28.2,-0.015858392,0.037414523,0.019338405,0.002574355
22:28.4,-0.015930715,0.037368308,0.019071846,0.002205512
22:28.5,-0.015676176,0.037279775,0.019868171,0.002702974
22:28.6,-0.015530648,0.037736,0.02056521,0.003361676
22:28.7,-0.015651154,0.037351459,0.021424156,0.003675279
22:28.8,-0.015358941,0.037143513,0.020494529,0.00284346
22:29.0,-0.015419325,0.036746985,0.020360902,0.002773362
22:29.1,-0.014935244,0.03554884,0.021336592,0.002518408
22:29.3,-0.014434611,0.035663303,0.02072026,0.002366164
22:29.5,-0.014326574,0.035531018,0.020658592,0.002359128
22:29.6,-0.014629288,0.036548294,0.021022643,0.002460873
22:29.8,-0.014733753,0.037474123,0.021588951,0.002312093
22:29.9,-0.014581202,0.037238606,0.021436648,0.002615598
22:30.0,-0.014551238,0.036962292,0.021335028,0.001815676
22:30.2,-0.014764564,0.037299621,0.022095513,0.001765866
22:30.3,-0.014774943,0.037813394,0.021512544,0.001827259
22:30.4,-0.014790939,0.038164397,0.02322635,0.002195786
22:30.6,-0.014308658,0.03835745,0.020891766,0.001748667
22:30.8,-0.014454319,0.038694177,0.018459455,0.002374825
22:30.9,-0.014638985,0.039133355,0.016435767,0.002297588
22:31.1,-0.014930121,0.039359009,0.017115111,0.002509456
22:31.2,-0.015084534,0.039484911,0.017334115,0.002690438
22:31.3,-0.01520008,0.039570242,0.019151785,0.002744717
22:31.5,-0.015476008,0.040097494,0.019194977,0.002717171
22:31.7,-0.015264726,0.040243787,0.018334368,0.002684624
22:31.8,-0.01588771,0.040354845,0.018066947,0.002085218
